
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2372,843; 2450,809; 2266,420; 0,00000
 196,55; 2096,334; 2155,473; 2021,717; 0,00000
 197,15; 1768,430; 1825,653; 1694,116; 0,00000
 197,76; 3136,359; 3364,879; 2963,478; 0,00000
 198,36; 1844,569; 1886,433; 1739,434; 0,00000
 198,96; 2846,315; 3138,853; 2722,957; 0,00000
 199,56; 2215,542; 2475,112; 2108,920; 0,00000
 200,16; 1889,975; 1934,011; 1810,087; 0,00000
 200,76; 1483,020; 1629,734; 1417,109; 0,00000
 201,36; 3350,345; 3644,140; 3190,870; 0,00000
 201,96; 1568,895; 1650,171; 1482,645; 0,00000
 202,56; 2210,329; 2318,435; 2037,862; 0,00000
 203,16; 2353,221; 2564,795; 2277,659; 0,00000
 203,76; 1852,394; 1954,839; 1734,196; 0,00000
 204,36; 1478,753; 1733,936; 1501,775; 0,00000
 204,96; 2232,358; 2295,244; 2094,529; 0,00000
 205,56; 1911,216; 2137,645; 1761,608; 0,00000
 206,16; 1536,568; 1616,372; 1460,884; 0,00000
 206,76; 1903,627; 2009,469; 1761,464; 0,00000
 207,36; 2726,271; 2789,130; 2526,935; 0,00000
 207,96; 2666,455; 2751,425; 2619,927; 0,00000
 208,56; 2272,531; 2467,923; 2153,014; 0,00000
 209,16; 1873,493; 1894,205; 1714,246; 0,00000
 209,76; 1451,736; 1638,169; 1378,217; 0,00000
 210,36; 1656,579; 1838,196; 1561,739; 0,00000
 210,96; 1978,196; 2184,963; 1804,297; 0,00000
 211,56; 1938,920; 2134,099; 1911,159; 0,00000
 212,16; 4264,335; 4485,535; 4113,268; 0,00000
 212,76; 1761,716; 1873,645; 1666,608; 0,00000
 213,36; 2523,113; 2567,094; 2363,906; 0,00000
 213,96; 2223,720; 2310,099; 2152,159; 0,00000
 214,56; 1959,499; 2149,512; 1929,000; 0,00000
 215,16; 1896,727; 2038,469; 1821,464; 0,00000
 215,76; 3795,594; 3965,839; 3702,196; 0,00000
 216,36; 1444,608; 1475,213; 1360,753; 0,00000
