
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2464,505; 2512,211; 2076,359; 0,00000
 196,55; 2205,260; 2248,177; 1879,745; 0,00000
 197,15; 1794,071; 1889,168; 1528,168; 0,00000
 197,76; 3227,261; 3337,208; 2816,426; 0,00000
 198,36; 1855,860; 1977,179; 1568,457; 0,00000
 198,96; 2934,227; 2924,209; 2596,901; 0,00000
 199,56; 2282,238; 2350,196; 1995,900; 0,00000
 200,16; 1915,227; 1989,201; 1687,053; 0,00000
 200,76; 1512,527; 1685,215; 1406,037; 0,00000
 201,36; 3424,328; 3433,245; 2979,718; 0,00000
 201,96; 1610,884; 1810,244; 1392,498; 0,00000
 202,56; 2256,217; 2387,230; 1855,750; 0,00000
 203,16; 2431,138; 2437,212; 2090,596; 0,00000
 203,76; 1894,561; 1921,209; 1595,138; 0,00000
 204,36; 1596,149; 1623,205; 1368,731; 0,00000
 204,96; 2308,505; 2441,189; 1983,526; 0,00000
 205,56; 1971,426; 2036,169; 1688,660; 0,00000
 206,16; 1600,349; 1647,182; 1411,898; 0,00000
 206,76; 1979,038; 2095,177; 1754,491; 0,00000
 207,36; 2783,427; 2848,195; 2372,917; 0,00000
 207,96; 2755,016; 2813,180; 2386,949; 0,00000
 208,56; 2360,583; 2438,205; 2018,968; 0,00000
 209,16; 1886,205; 1922,191; 1696,238; 0,00000
 209,76; 1454,727; 1522,193; 1319,204; 0,00000
 210,36; 1728,460; 1836,191; 1551,730; 0,00000
 210,96; 2063,083; 2125,203; 1748,256; 0,00000
 211,56; 1999,172; 2061,196; 1723,137; 0,00000
 212,16; 4402,771; 4457,174; 3828,304; 0,00000
 212,76; 1796,326; 1847,169; 1585,660; 0,00000
 213,36; 2625,249; 2664,197; 2176,883; 0,00000
 213,96; 2310,471; 2441,196; 1892,137; 0,00000
 214,56; 2033,860; 2139,175; 1840,033; 0,00000
 215,16; 1929,538; 2019,177; 1811,491; 0,00000
 215,76; 3906,461; 4018,209; 3410,138; 0,00000
 216,36; 1509,249; 1672,190; 1301,747; 0,00000
