
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 258,86; 2600,683; 2807,180; 2606,611; 0,00000
 259,46; 1733,198; 1821,228; 1788,714; 0,00000
 260,06; 1949,762; 1989,218; 2013,327;-163,65174
 260,66; 1915,713; 2100,227; 2057,679; 0,00000
 261,26; 3097,411; 3119,203; 3115,489; 0,00000
 261,85; 1258,025; 1372,220; 1304,915; 0,00000
 262,45; 2014,430; 2149,202; 2166,695;-770,41506
 263,05; 1945,737; 1985,201; 1954,177; 0,00000
 263,65; 1219,802; 1328,227; 1346,955;-578,95931
 264,24; 2765,395; 2882,180; 2854,334; 0,00000
 264,84; 2300,296; 2400,204; 2366,524; 0,00000
 265,44; 2492,900; 2567,209; 2551,252; 0,00000
 266,04; 1646,898; 1699,228; 1693,714; 0,00000
 266,63; 1736,897; 1826,192; 1796,550; 0,00000
 267,23; 1191,206; 1167,227; 1108,196; 0,00000
 267,83; 1947,668; 2038,193; 2023,620; 0,00000
 268,42; 1547,952; 1568,200; 1692,142;-16,33681
 269,02; 2857,479; 2966,229; 2938,508; 0,00000
 269,62; 2007,412; 2085,197; 2075,002; 0,00000
 270,22; 1118,788; 1248,210; 1091,529; 0,00000
 270,81; 1993,212; 2089,191; 2109,515;-472,24224
 271,41; 1951,816; 2144,239; 1999,894; 0,00000
 272,01; 1998,922; 2081,202; 1996,213; 0,00000
 272,61; 1952,205; 1929,191; 1983,032;42,74372
 273,20; 2408,572; 2612,235; 2518,512; 0,00000
 273,80; 1573,329; 1667,214; 1590,669; 0,00000
 274,40; 1362,107; 1486,215; 1414,222; 0,00000
 274,99; 1877,387; 2101,228; 1837,990; 0,00000
 275,59; 2260,240; 2333,213; 2278,393; 0,00000
 276,19; 2626,080; 2646,223; 2671,021;-81,22631
 276,78; 1962,794; 2088,192; 1997,309; 0,00000
 277,38; 1542,920; 1587,190; 1508,997; 0,00000
 277,98; 1732,795; 1877,222; 1739,985; 0,00000
 278,57; 1508,505; 1695,191; 1513,032; 0,00000
 279,17; 1842,175; 1921,193; 1901,103; 0,00000
 279,77; 4099,060; 4198,194; 4158,138; 0,00000
 280,37; 1793,520; 1924,238; 1869,135; 0,00000
 280,96; 1473,625; 1501,220; 1551,915;-54,43384
 281,56; 1185,174; 1214,211; 1165,564; 0,00000
 282,16; 1448,488; 1549,222; 1518,503; 0,00000
 282,75; 1317,999; 1387,173; 1370,088; 0,00000
 283,35; 1739,665; 1704,230; 1804,543;35,32437
 283,95; 1767,832; 1859,226; 1796,885; 0,00000
 284,54; 1596,228; 1545,226; 1616,644;71,41363
 285,14; 1848,739; 1953,225; 1787,367; 0,00000
 285,73; 2158,607; 2212,209; 2090,735; 0,00000
 286,33; 1483,717; 1524,220; 1485,433; 0,00000
 286,93; 1563,739; 1566,225; 1586,367;-12,34273
 287,52; 2000,886; 2235,234; 2000,477; 0,00000
 288,12; 2274,234; 2309,238; 2242,100; 0,00000
 288,72; 2410,582; 2490,241; 2427,723; 0,00000
 289,31; 2243,646; 2248,225; 2212,850; 0,00000
 289,91; 2930,729; 3013,214; 3007,669; 0,00000
 290,51; 1821,752; 1930,206; 1881,630; 0,00000
 291,10; 2164,189; 2219,204; 2034,042; 0,00000
 291,70; 1468,286; 1543,246; 1515,452; 0,00000
 292,29; 2061,693; 2086,198; 2107,796;-113,45843
 292,89; 1638,241; 1583,207; 1734,906;36,27817
 293,49; 2079,387; 2343,222; 2123,503; 0,00000
 294,08; 1093,673; 1244,223; 1137,538; 0,00000
 294,68; 1437,699; 1524,216; 1487,740; 0,00000
 295,28; 1808,840; 1973,213; 1908,393; 0,00000
 295,87; 1713,171; 1670,199; 1675,348;834,53369
 296,47; 1754,751; 1810,212; 1906,117;-57,82979
 297,06; 2084,536; 2246,213; 2182,152; 0,00000
 297,66; 1140,135; 1230,231; 1137,613; 0,00000
 298,26;  889,924; 1001,226;  932,402; 0,00000
 298,85; 2026,255; 2011,212; 2025,358;106,34180
 299,45; 1614,001; 1737,197; 1628,278; 0,00000
 300,04; 1648,104; 1731,203; 1614,006; 0,00000
 300,64; 1736,142; 1835,183; 1809,957; 0,00000
 301,23; 2015,665; 2145,230; 2047,543; 0,00000
 301,83; 1844,393; 1820,204; 1708,283; 0,00000
 302,43; 1866,735; 1863,225; 1897,126;10,35346
 303,02; 1471,369; 1508,181; 1502,646; 0,00000
 303,62; 1596,700; 1624,203; 1749,765;-21,90429
 304,21; 2291,217; 2335,172; 2305,294; 0,00000
 304,81; 2360,078; 2406,199; 2322,831; 0,00000
 305,40; 1776,839; 1888,183; 1825,716; 0,00000
 306,00; 1724,784; 1844,216; 1748,775; 0,00000
 306,59; 1923,938; 1864,195; 1929,690;91,21681
 307,19; 1231,759; 1366,212; 1316,599; 0,00000
 307,79; 1674,719; 1783,202; 1673,971; 0,00000
 308,38; 1786,983; 1870,144; 1835,447; 0,00000
 308,98; 1258,482; 1278,198; 1244,072; 0,00000
 309,57; 1252,820; 1302,232; 1302,648; 0,00000
 310,17; 1977,138; 2087,328; 1963,131; 0,00000
 310,76; 2210,762; 2448,350; 2329,768; 0,00000
 311,36; 1625,510; 1691,263; 1649,602; 0,00000
 311,95; 1338,897; 1473,198; 1275,037; 0,00000
 312,55; 3040,473; 3163,259; 2948,702; 0,00000
 313,14; 1038,627; 1094,232; 1045,131; 0,00000
 313,74; 1193,314; 1356,215; 1279,704; 0,00000
 314,33; 1984,215; 1984,197; 2024,243; 0,04725
 314,93; 2141,170; 2227,205; 2225,836; 0,00000
 315,52; 1966,403; 2056,215; 1992,981; 0,00000
 316,12; 1664,234; 1705,201; 1601,936; 0,00000
 316,71; 5185,484; 5380,223; 5347,262; 0,00000
 317,31;  867,077;  832,217;  955,292;28,32399
 317,90; 1335,094; 1406,228; 1399,473; 0,00000
 318,50; 1203,714; 1180,215; 1176,704; 0,00000
 319,09; 1027,675; 1143,199; 1004,590; 0,00000
 319,69; 1711,851; 1842,219; 1811,604; 0,00000
 320,28; 1686,026; 1746,208; 1695,941; 0,00000
 320,88; 1503,801; 1595,191; 1569,791; 0,00000
 321,47; 1114,514;  986,215; 1077,704;140,23352
 322,07; 1272,321; 1448,220; 1299,674; 0,00000
 322,66; 1261,037; 1325,207; 1243,665; 0,00000
 323,26; 1271,024; 1353,184; 1346,751; 0,00000
 323,85; 1643,077; 1714,217; 1713,292; 0,00000
 324,45;  830,774;  977,211;  830,564; 0,00000
 325,04; 1213,852; 1254,206; 1203,630; 0,00000
 325,64; 1616,999; 1683,222; 1634,227; 0,00000
 326,23; 1338,136; 1433,213; 1302,152; 0,00000
 326,83; 1964,789; 2037,204; 2057,042;-365,03907
 327,42; 1596,024; 1727,226; 1614,402; 0,00000
 328,01; 1525,896; 1553,210; 1496,011; 0,00000
 328,61;  786,428;  856,226;  860,644;-1579,92843
 329,20; 2056,019; 2137,202; 2126,971; 0,00000
 329,80;  820,272;  843,181;  798,887; 0,00000
 330,39; 1463,436; 1520,213; 1536,152;-356,22511
 330,99; 1122,855; 1175,212; 1179,358;-1262,91149
 331,58; 1166,066; 1280,212; 1277,082; 0,00000
 332,17; 1872,937; 1979,207; 1876,665; 0,00000
 332,77; 2545,749; 2584,200; 2659,901;-50,79466
 333,36; 1356,460; 1382,194; 1393,138;-235,14629
 333,96;  752,873;  904,217;  815,051; 0,00000
 334,55; 1038,716; 1104,190; 1046,756; 0,00000
 335,15; 1060,726; 1114,208; 1098,941; 0,00000
 335,74; 1279,852; 1342,200; 1341,142; 0,00000
 336,33; 1156,966; 1267,212; 1170,082; 0,00000
 336,93; 1413,778; 1518,205; 1475,318; 0,00000
 337,52; 1477,974; 1560,211; 1483,564; 0,00000
 338,12; 1481,889; 1535,204; 1517,042; 0,00000
 338,71; 1378,811; 1601,209; 1422,976; 0,00000
 339,30; 2078,185; 2224,210; 2097,288; 0,00000
 339,90; 1263,164; 1419,242; 1316,517; 0,00000
 340,49; 1377,774; 1452,205; 1428,077; 0,00000
 341,08; 1415,647; 1540,225; 1513,850; 0,00000
 341,68; 1332,566; 1365,212; 1351,082; 0,00000
 342,27; 1879,037; 1946,207; 1933,665; 0,00000
 342,87; 1564,284; 1610,223; 1550,262; 0,00000
 343,46; 2056,905; 2096,191; 1998,032; 0,00000
 344,05; 1663,162; 1746,212; 1710,840; 0,00000
 344,65; 1948,805; 2023,191; 2115,032;-80,99465
 345,24; 1837,627; 1907,196; 1952,967;-151,99451
 345,83; 2118,635; 2147,189; 2149,962;-1029,94893
 346,43; 1059,941; 1126,207; 1141,906;-422,11034
 347,02;  888,242; 1055,189;  947,444; 0,00000
 347,61;  995,387; 1148,234;  925,477; 0,00000
 348,21; 2091,852; 2216,200; 2143,142; 0,00000
 348,80;  712,511;  738,209;  812,976;-34,37073
 349,40; 1046,252; 1031,206; 1013,630; 0,00000
 349,99; 1144,875; 1148,193; 1209,103;-5,44741
 350,58; 1454,083; 1666,235; 1375,236; 0,00000
 351,18; 1434,530; 1428,202; 1471,695;14,54990
 351,77; 1120,425; 1195,214; 1163,428; 0,00000
 352,36; 1021,279; 1008,193;  961,344; 0,00000
 352,96;  660,856;  716,200;  678,384; 0,00000
 353,55; 1805,546; 1825,231; 1722,337; 0,00000
 354,14; 1290,485; 1280,210; 1391,288; 9,24969
 354,73;  650,022;  806,202;  734,213; 0,00000
 355,33; 1053,901; 1146,197;  989,278; 0,00000
 355,92; 1386,799; 1422,222; 1425,227;-1178,69938
 356,51;  730,239;  801,231;  735,854; 0,00000
 357,11;  944,198; 1008,234;  928,201; 0,00000
 357,70; 1442,455; 1529,254; 1511,009; 0,00000
 358,29; 1036,017; 1067,220; 1096,433;-106,81507
 358,89; 1040,069; 1209,223; 1130,297; 0,00000
 359,48; 1041,577; 1093,259; 1066,944; 0,00000
 360,07; 1892,146; 1912,231; 2024,337;-17,91581
 360,66; 1344,913; 1447,269; 1372,330; 0,00000
 361,26; 2133,986; 2198,282; 2067,616; 0,00000
 361,85; 1230,873; 1233,265; 1349,189;-2,06371
 362,44; 1434,263; 1515,302; 1358,630; 0,00000
 363,04; 1037,592; 1020,300; 1144,560;13,91623
 363,63; 1106,810; 1100,317; 1130,227;21,70621
 364,22; 1486,543; 1455,321; 1544,885;34,85924
 364,81; 1207,586; 1163,337; 1290,241;34,86802
 365,41; 1851,775; 1782,337; 2007,518;30,83629
 366,00;  802,471;  624,332;  747,789;144,29213
 366,59; 1797,855; 1882,302; 1901,147;-448,11566
 367,18; 3221,266; 3068,308; 3185,358;130,67690
 367,78; 1330,004; 1262,293; 1275,796;501,46003
 368,37; 1206,250; 1067,279; 1338,716;51,19809
 368,96;  971,968;  762,278;  984,923;94,18164
 369,55; 1698,377; 1523,265; 1701,431;98,28589
 370,15; 1428,243; 1370,273; 1405,747;163,41491
 370,74; 2045,684; 1903,265; 1973,913;201,58894
 371,33; 1685,464; 1618,242; 1804,517;36,08743
 371,92; 2288,531; 2245,280; 2439,510;22,26796
 372,51; 1671,272; 1704,277; 1806,164;-32,39426
 373,11; 1130,063; 1143,296; 1182,143;-34,06393
 373,70; 1045,907; 1190,299; 1052,525; 0,00000
 374,29;  965,039;  975,315;  960,157; 0,00000
 374,88; 1384,472; 1357,283; 1398,651;65,72347
 375,48; 1320,434; 1340,286; 1408,239;-29,21325
 376,07; 1423,959; 1326,254; 1516,250;51,42465
 376,66; 1044,839;  949,267; 1105,019;61,36207
 377,25;  648,039;  488,279;  691,993;78,42347
 377,84; 2148,850; 2123,279; 2246,717;20,71554
 378,44; 1782,367; 1778,290; 1776,897; 0,00000
 379,03;  927,162;  871,266; 1037,466;33,63172
 379,62; 1065,112; 1017,281; 1069,304;91,94229
 380,21;  667,275;  682,289;  668,379; 0,00000
 380,80; 1095,405; 1126,287; 1181,309;-56,12886
 381,39;  544,905;  529,287;  568,309;40,02174
 381,99; 1189,679; 1182,277; 1128,646; 0,00000
 382,58; 1767,158; 1809,266; 1746,225; 0,00000
 383,17; 2109,491; 2057,270; 2181,883;41,90646
 383,76; 2259,208; 2241,251; 2206,386; 0,00000
 384,35; 2017,806; 1937,263; 2036,360;81,27688
 384,94; 2490,781; 2619,259; 2724,185;-122,44629
 385,54; 2091,857; 2011,278; 2124,199;71,35886
 386,13;  973,678; 1009,295;  936,108; 0,00000
 386,72; 1732,683; 1791,283; 1763,375; 0,00000
 387,31; 1243,038; 1159,279; 1313,993;54,13820
 387,90; 1012,519; 1070,286; 1054,274; 0,00000
 388,49;  982,578;  986,289;  941,620; 0,00000
 389,08; 2451,167; 2261,290; 2527,897;71,21993
 389,68; 1418,258; 1432,272; 1437,712;-257,64233
 390,27; 1315,332; 1340,268; 1378,536;-65,15989
 390,86; 1332,872; 1293,271; 1270,677; 0,00000
 391,45; 1297,954; 1283,266; 1466,983; 7,99490
 392,04; 2033,125; 1975,256; 2131,079;37,13784
 392,63;  597,517;  522,269;  647,571;60,05344
 393,22;  978,073;  996,271; 1082,677;-21,06212
 393,81;  942,818;  877,257;  876,597; 0,00000
 394,41;  923,593;  944,288; 1029,585;-24,26187
 395,00;  991,338;  912,285; 1029,480;67,45415
 395,59;  473,169;  499,272;  551,435;-50,03996
 396,18; 1127,179; 1120,277; 1094,646; 0,00000
 396,77; 1232,307; 1215,257; 1330,873;14,74681
 397,36; 2813,378; 2812,247; 2892,969; 1,40153
 397,95; 1284,588; 1286,264; 1283,154; 0,00000
 398,54;  815,966;  742,266;  904,707;45,37012
 399,13; 1605,996; 1596,258; 1642,150;21,21906
 399,72;  488,757;  524,278;  645,199;-29,37558
 400,31;  956,892; 1072,300; 1025,560; 0,00000
 400,90; 1343,007; 1271,251; 1328,386;125,59091
 401,50; 1416,601; 1429,282; 1515,581;-14,69343
 402,09; 1646,310; 1550,269; 1699,089;64,53490
 402,68; 1503,604; 1518,287; 1508,309; 0,00000
 403,27;  839,879;  870,277;  901,646;-96,90206
 403,86;  888,550;  968,273;  959,229; 0,00000
 404,45;  707,766;  647,260;  731,220;72,06545
 405,04; 1748,485; 1679,253; 1833,939;44,75675
 405,63; 1227,470; 1191,253; 1282,974;39,48601
 406,22;  819,979;  771,283;  862,133;53,60018
 406,81; 1280,035; 1238,274; 1373,264;30,93670
 407,40; 1521,949; 1594,237; 1516,065; 0,00000
 407,99; 1770,290; 1804,282; 1891,857;-38,81488
 408,58; 1717,998; 1770,282; 1723,339; 0,00000
 409,17; 2037,899; 1960,264; 2094,878;57,67248
 409,76; 1945,049; 1959,285; 1988,204;-49,22605
 410,35;  886,663;  807,254;  943,492;58,28702
 410,94; 1299,372; 1318,271; 1374,677;-33,50560
 411,53; 1986,645; 1993,291; 2043,450;-13,24997
 412,12;  998,230;  968,244; 1030,346;48,28539
 412,71;  877,223;  922,292;  952,002;-151,69927
 413,30;  847,406;  854,263;  820,360; 0,00000
 413,89;  647,938;  667,279;  715,993;-39,70338
 414,48;  689,825;  745,262;  709,567; 0,00000
 415,07; 1458,612; 1542,239; 1568,653;-316,59819
 415,66;  920,500;  913,252;  999,904; 8,36496
 416,25; 1939,777; 1895,259; 2065,944;26,08214
 416,84; 2370,614; 2354,263; 2338,843; 0,00000
 417,43;  951,281;  985,259;  988,185;-1161,25493
 418,02; 1269,079; 1301,277; 1237,646; 0,00000
 418,61;  897,810;  831,269;  913,089;81,32589
 419,20;  842,299;  844,264;  825,878; 0,00000
 419,79;  802,369;  761,266;  893,948;30,97898
 420,38; 1186,776; 1217,271; 1212,918; 0,00000
 420,97; 2003,693; 2023,246; 2071,934;-40,15966
 421,56; 1014,766; 1016,254; 1027,733;-12,95494
 422,15;  865,302;  846,276;  973,094;15,00276
 422,74; 2144,990; 2179,282; 2192,857;-252,61681
 423,33; 1168,156; 1225,248; 1340,522;-49,52781
 423,92; 1616,802; 1710,270; 1755,606;-206,16211
 424,51; 1165,518; 1018,257; 1215,597;74,62311
 425,10; 1111,725;  995,262; 1203,567;55,90999
 425,69;  868,633;  916,256;  922,562;-755,17712
 426,28;  878,031;  819,238;  914,859;61,48516
 426,87; 1097,376; 1087,229; 1147,267;16,90083
 427,46; 2830,827; 2719,238; 2868,618;74,70140
 428,04;  628,934;  640,237;  628,100; 0,00000
 428,63; 1232,689; 1126,246; 1306,693;58,98869
 429,22;  837,303;  778,257;  897,632;49,46258
 429,81; 1303,897; 1268,240; 1447,688;19,87059
 430,40;  446,460;  408,236;  431,789;162,29199
 430,99; 1537,307; 1422,251; 1636,386;53,73069
 431,58; 2640,421; 2577,262; 2728,325;41,80974
 432,17; 2323,474; 2257,247; 2352,728;69,36178
 432,76; 1572,123; 1540,244; 1630,864;35,17840
 433,35; 1691,741; 1642,249; 1635,557; 0,00000
 433,94; 2290,114; 2103,257; 2288,356;100,95006
 434,52;  404,409;  437,233;  519,925;-39,69468
 435,11; 1165,133; 1175,214; 1242,911;-14,89125
 435,70;  856,512;  776,245;  890,140;70,47412
 436,29;  477,533;  457,256;  523,562;30,58141
 436,88; 1546,318; 1488,263; 1559,084;81,97373
 437,47; 1232,946; 1161,231; 1278,337;61,23953
 438,06; 1116,568; 1074,235; 1158,271;50,37419
 438,65; 4055,217; 4070,269; 3972,571; 0,00000
 439,23;  897,129;  917,262;  942,808;-78,81173
 439,82; 1912,635; 1920,274; 1999,264;-9,66986
 440,41; 1296,568; 1247,229; 1297,784;97,59504
 441,00; 1346,114; 1311,257; 1492,356;19,24785
 441,59; 1687,761; 1597,272; 1722,953;71,99923
 442,18; 1131,281; 1169,253; 1219,698;-75,27278
 442,77;  785,524;  704,226;  820,402;69,97824
 443,35; 2168,205; 1990,233; 2188,684;89,68078
 443,94; 1731,673; 1688,259; 1758,702;61,63013
 444,53;  759,025;  649,262;  748,567;110,53182
 445,12; 1559,760; 1553,248; 1679,763; 5,14679
 445,71; 1610,094; 1554,234; 1654,960;55,45751
 446,30; 2281,232; 2223,262; 2431,049;27,89909
 446,88;  822,511;  738,251;  857,627;70,58362
 447,47; 1543,940; 1461,255; 1632,044;48,41366
 448,06;  838,246;  781,231;  870,337;63,98589
 448,65; 1619,962; 1531,260; 1692,979;54,84979
 449,24; 2023,418; 1988,263; 2059,084;49,63898
 449,82;  917,562;  795,260; 1040,979;49,77332
 450,41; 1180,028; 1185,268; 1222,295;-14,15083
 451,00; 1238,133; 1155,256; 1237,562;100,69395
 451,59;  466,853;  426,242;  436,794;384,88807
 452,18; 1014,248;  940,249; 1044,040;71,29689
 452,76;  814,963;  738,254;  810,492;106,18964
 453,35; 1170,877; 1133,259; 1249,944;32,23919
 453,94;  985,871;  974,247; 1011,487;31,21231
 454,53; 1179,693; 1041,246; 1302,934;52,90535
 455,12; 1569,859; 1522,260; 1602,737;59,14512
 455,70;  803,159;  707,254;  797,250;106,56549
 456,29; 1011,764;  875,236; 1016,030;96,97014
 456,88; 2024,567; 1889,242; 2099,759;64,28261
 457,47; 2514,724; 2401,232; 2578,890;63,88217
 458,05; 1253,685; 1211,253; 1336,939;33,76064
 458,64; 1173,913; 1118,227; 1358,679;23,15901
