
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 258,86; 2565,940; 2728,411; 2647,650; 0,00000
 259,46; 1726,313; 1788,483; 1800,497;-517,45850
 260,06; 1893,836; 1959,677; 1936,956; 0,00000
 260,66; 1920,370; 2085,500; 1972,448; 0,00000
 261,26; 3077,125; 3229,971; 3235,881;-2586,47800
 261,85; 1232,944; 1317,633; 1345,579;-303,04016
 262,45; 1991,221; 2017,993; 2117,069;-27,02180
 263,05; 1916,833; 1952,002; 1948,545; 0,00000
 263,65; 1192,453; 1344,487; 1290,735; 0,00000
 264,24; 2749,158; 2755,425; 2960,363;-3,05780
 264,84; 2287,302; 2360,954; 2280,930; 0,00000
 265,44; 2466,984; 2522,839; 2462,750; 0,00000
 266,04; 1587,713; 1819,483; 1641,497; 0,00000
 266,63; 1708,316; 1752,191; 1786,765;-126,90216
 267,23; 1134,492; 1286,492; 1169,973; 0,00000
 267,83; 1947,203; 1934,156; 2012,864;16,57651
 268,42; 1548,523; 1653,020; 1591,495; 0,00000
 269,02; 2887,618; 3109,461; 2986,309; 0,00000
 269,62; 1970,316; 2074,090; 1950,298; 0,00000
 270,22; 1104,234; 1262,826; 1138,037; 0,00000
 270,81; 1978,306; 2007,209; 2100,716;-30,90965
 271,41; 1896,628; 2063,267; 1942,850; 0,00000
 272,01; 1975,276; 2070,985; 2053,594; 0,00000
 272,61; 1884,928; 2087,200; 1976,241; 0,00000
 273,20; 2411,549; 2558,333; 2526,416; 0,00000
 273,80; 1551,907; 1712,756; 1522,234; 0,00000
 274,40; 1346,606; 1431,729; 1405,808; 0,00000
 274,99; 1860,596; 2092,470; 2081,784; 0,00000
 275,59; 2210,625; 2390,769; 2270,947; 0,00000
 276,19; 2591,908; 2680,580; 2665,727; 0,00000
 276,78; 1957,344; 1944,187; 2020,528;17,23440
 277,38; 1510,451; 1662,218; 1613,192; 0,00000
 277,98; 1694,398; 1789,597; 1688,677; 0,00000
 278,57; 1491,861; 1613,200; 1543,241; 0,00000
 279,17; 1830,615; 1920,165; 1938,339;-492,72924
 279,77; 4070,958; 4306,147; 4342,389;-648,95516
 280,37; 1737,068; 1806,272; 1816,088;-704,98408
 280,96; 1468,378; 1596,633; 1512,579; 0,00000
 281,56; 1162,244; 1301,809; 1205,086; 0,00000
 282,16; 1429,153; 1593,589; 1473,202; 0,00000
 282,75; 1312,321; 1351,548; 1430,018;-49,98950
 283,35; 1686,894; 1724,443; 1718,358; 0,00000
 283,95; 1732,132; 1837,523; 1837,636; 0,00000
 284,54; 1549,227; 1732,518; 1804,399;-254,99451
 285,14; 1852,011; 2002,531; 1979,112; 0,00000
 285,73; 2157,296; 2242,848; 2297,226;-157,32995
 286,33; 1455,199; 1551,624; 1521,103; 0,00000
 286,93; 1526,577; 1624,531; 1599,112; 0,00000
 287,52; 1963,639; 2087,351; 2025,367; 0,00000
 288,12; 2226,458; 2368,289; 2323,039; 0,00000
 288,72; 2365,010; 2540,228; 2555,711;-1131,65248
 289,31; 2200,889; 2305,540; 2156,587; 0,00000
 289,91; 2907,141; 2981,756; 2872,234; 0,00000
 290,51; 1787,766; 1677,901; 1918,078;45,74332
 291,10; 2166,457; 2291,945; 2340,455;-258,68563
 291,70; 1413,725; 1561,113; 1503,531; 0,00000
 292,29; 2030,987; 2157,068; 2029,110; 0,00000
 292,89; 1633,348; 1690,888; 1683,365; 0,00000
 293,49; 2057,686; 2264,589; 2068,202; 0,00000
 294,08; 1076,496; 1265,571; 1137,251; 0,00000
 294,68; 1402,961; 1502,721; 1521,333;-535,99879
 295,28; 1793,491; 1825,769; 1832,947;-449,65819
 295,87; 1638,985; 1701,042; 1659,684; 0,00000
 296,47; 1747,776; 1923,782; 1882,660; 0,00000
 297,06; 2042,486; 2198,765; 2112,709; 0,00000
 297,66; 1116,481; 1120,408; 1287,457;-2,35082
 298,26;  864,354; 1080,514;  935,161; 0,00000
 298,85; 1982,915; 2209,787; 2051,898; 0,00000
 299,45; 1638,065; 1706,077; 1698,585; 0,00000
 300,04; 1628,181; 1700,963; 1647,406; 0,00000
 300,64; 1714,610; 1752,363; 1876,035;-30,52677
 301,23; 2014,361; 2053,443; 2027,358; 0,00000
 301,83; 1756,297; 1890,949; 1841,692; 0,00000
 302,43; 1839,505; 2008,527; 1866,874; 0,00000
 303,02; 1456,117; 1560,394; 1634,699;-140,33537
 303,62; 1591,141; 1619,958; 1653,168;-86,77174
 304,21; 2249,050; 2301,570; 2346,207;-117,66038
 304,81; 2312,697; 2363,051; 2414,159;-98,52298
 305,40; 1738,804; 1808,359; 1850,798;-163,89270
 306,00; 1678,571; 1819,703; 1767,382; 0,00000
 306,59; 1902,023; 1944,121; 1926,962; 0,00000
 307,19; 1243,154; 1283,791; 1297,136;-304,52163
 307,79; 1655,671; 1758,980; 1799,356;-255,86921
 308,38; 1742,777; 1837,120; 1850,918;-683,73424
 308,98; 1197,003; 1304,055; 1275,397; 0,00000
 309,57; 1243,925; 1271,391; 1210,506; 0,00000
 310,17; 1961,053; 2107,521; 2071,488; 0,00000
 310,76; 2240,799; 2428,076; 2445,481;-1076,00926
 311,36; 1621,795; 1768,788; 1824,942;-261,76541
 311,95; 1287,826; 1378,073; 1343,348; 0,00000
 312,55; 2994,327; 3226,863; 3070,983; 0,00000
 313,14; 1011,303;  938,399; 1064,981;57,59401
 313,74; 1172,051; 1252,738; 1196,283; 0,00000
 314,33; 1954,988; 2063,094; 2075,536;-868,90465
 314,93; 2117,295; 2188,923; 2156,266; 0,00000
 315,52; 1937,167; 2025,725; 2042,570;-525,71814
 316,12; 1605,427; 1656,998; 1657,307; 0,00000
 316,71; 5136,614; 5239,584; 5407,964;-61,15334
 317,31;  841,359;  942,694;  825,906; 0,00000
 317,90; 1331,541; 1427,479; 1395,260; 0,00000
 318,50; 1166,051; 1262,738; 1199,283; 0,00000
 319,09; 1030,258; 1098,046; 1119,922;-309,88315
 319,69; 1662,719; 1815,663; 1664,243; 0,00000
 320,28; 1664,325; 1666,870; 1715,414;-5,24252
 320,88; 1476,722; 1544,196; 1649,003;-64,37878
 321,47; 1132,817; 1254,738; 1125,283; 0,00000
 322,07; 1260,805; 1298,628; 1313,341;-257,07305
 322,66; 1259,943; 1255,883; 1228,127; 0,00000
 323,26; 1261,414; 1225,341; 1272,847;75,93404
 323,85; 1611,393; 1723,694; 1661,906; 0,00000
 324,45;  811,744;  844,809;  938,086;-35,44776
 325,04; 1166,133; 1270,901; 1230,078; 0,00000
 325,64; 1586,904; 1663,602; 1588,915; 0,00000
 326,23; 1330,052; 1505,765; 1385,709; 0,00000
 326,83; 1920,924; 1999,945; 2009,455;-830,94578
 327,42; 1547,121; 1619,514; 1741,161;-59,51060
 328,01; 1509,012; 1636,835; 1567,512; 0,00000
 328,61;  750,027;  731,518;  780,399;37,86455
 329,20; 2004,204; 2068,980; 2097,356;-228,27890
 329,80;  826,090;  938,398;  824,937; 0,00000
 330,39; 1456,186; 1549,765; 1513,709; 0,00000
 330,99; 1062,248; 1189,787; 1171,898; 0,00000
 331,58; 1152,565; 1231,800; 1275,611;-180,85433
 332,17; 1841,676; 1989,883; 1884,127; 0,00000
 332,77; 2501,684; 2623,015; 2525,258; 0,00000
 333,36; 1348,825; 1551,147; 1318,388; 0,00000
 333,96;  749,720;  796,690;  797,669; 0,00000
 334,55;  969,479; 1092,213; 1083,954; 0,00000
 335,15; 1070,758; 1146,870; 1191,414;-170,86924
 335,74; 1253,856; 1335,020; 1250,495; 0,00000
 336,33; 1117,399; 1220,800; 1133,611; 0,00000
 336,93; 1406,740; 1423,932; 1418,742; 0,00000
 337,52; 1437,310; 1653,809; 1541,086; 0,00000
 338,12; 1440,891; 1596,945; 1533,455; 0,00000
 338,71; 1405,235; 1446,853; 1561,463;-36,31188
 339,30; 2035,061; 2095,822; 2173,799;-77,92067
 339,90; 1254,747; 1379,206; 1331,523; 0,00000
 340,49; 1336,034; 1502,927; 1376,504; 0,00000
 341,08; 1414,989; 1547,540; 1362,587; 0,00000
 341,68; 1308,399; 1474,800; 1268,611; 0,00000
 342,27; 1853,109; 2069,883; 1870,127; 0,00000
 342,87; 1522,847; 1603,584; 1563,964; 0,00000
 343,46; 2013,228; 2121,200; 2076,241; 0,00000
 344,05; 1632,626; 1779,795; 1737,373; 0,00000
 344,65; 1938,995; 2005,200; 2031,241;-254,24050
 345,24; 1839,073; 1951,108; 1983,249;-348,56914
 345,83; 2063,574; 2162,235; 2263,142;-97,77409
 346,43; 1059,848; 1111,888; 1119,365;-696,00007
 347,02;  889,619;  944,244;  910,618; 0,00000
 347,61;  987,006; 1147,351;  934,367; 0,00000
 348,21; 2079,590; 2163,020; 2206,495;-191,90121
 348,80;  699,435;  808,853;  826,463;-621,31083
 349,40; 1010,133; 1161,901; 1076,078; 0,00000
 349,99; 1107,915; 1188,165; 1230,339;-190,28197
 350,58; 1414,400; 1633,347; 1480,129; 0,00000
 351,18; 1364,688; 1390,993; 1449,069;-45,29488
 351,77; 1106,868; 1139,751; 1232,996;-35,26536
 352,36; 1001,487; 1017,169; 1110,577;-16,78893
 352,96;  663,395;  674,024;  732,733;-18,10429
 353,55; 1738,865; 1870,421; 1813,170; 0,00000
 354,14; 1290,395; 1374,822; 1339,799; 0,00000
 354,73;  667,043;  683,985;  663,594; 0,00000
 355,33; 1022,165; 1030,077; 1085,585;-14,25331
 355,92; 1356,270; 1366,602; 1378,915;-83,90586
 356,51;  707,720;  772,413;  903,694;-49,27736
 357,11;  929,056;  988,364; 1067,080;-75,34447
 357,70; 1417,088; 1512,959; 1535,212;-430,82805
 358,29; 1049,799; 1112,624; 1109,103; 0,00000
 358,89; 1018,791; 1084,567; 1080,013; 0,00000
 359,48; 1030,833; 1128,867; 1083,221; 0,00000
 360,07; 1855,599; 1911,421; 1990,170;-70,88768
 360,66; 1350,577; 1439,673; 1478,762;-227,93262
 361,26; 2075,789; 2206,405; 2279,263;-179,27500
 361,85; 1248,803; 1240,744; 1282,565;19,27076
 362,44; 1419,183; 1459,022; 1502,584;-91,45463
 363,04; 1042,029;  958,057; 1092,486;62,46594
 363,63; 1082,754; 1089,723; 1081,421; 0,00000
 364,22; 1464,916; 1571,644; 1570,143; 0,00000
 364,81; 1201,848; 1152,340; 1254,742;48,34666
 365,41; 1842,597; 1829,327; 1983,029; 8,63383
 366,00;  742,015;  587,441;  833,209;62,89428
 366,59; 1774,138; 1674,013; 1840,109;60,28131
 367,18; 3144,531; 3150,908; 3332,404;-3,51314
 367,78; 1290,970; 1179,189; 1384,616;54,41401
 368,37; 1167,554; 1052,480; 1202,304;76,80632
 368,96;  958,117;  869,502;  991,492;72,64073
 369,55; 1678,642; 1536,748; 1870,803;42,47628
 370,15; 1418,500; 1478,590; 1433,246; 0,00000
 370,74; 2000,021; 2084,757; 2151,278;-127,38255
 371,33; 1657,814; 1610,206; 1784,523;27,31111
 371,92; 2282,825; 2381,458; 2432,115;-194,70394
 372,51; 1639,756; 1757,506; 1829,730;-163,03496
 373,11; 1096,740; 1072,141; 1165,002;26,48991
 373,70; 1015,753; 1069,075; 1052,437; 0,00000
 374,29;  945,134;  998,758; 1035,323;-146,65651
 374,88; 1364,499; 1351,387; 1407,313;23,44463
 375,48; 1286,274; 1273,343; 1332,936;21,69839
 376,07; 1413,994; 1321,964; 1625,450;30,32434
 376,66; 1004,517;  951,704; 1049,426;54,04443
 377,25;  621,937;  670,467;  686,591;-300,97244
 377,84; 2104,288; 2114,480; 2208,304;-10,86301
 378,44; 1766,003; 1785,264; 1844,657;-32,43078
 379,03;  917,086;  865,731; 1002,852;37,45221
 379,62; 1002,196; 1038,436; 1003,927; 0,00000
 380,21;  656,148;  648,273;  786,133; 5,71207
 380,80; 1081,727; 1166,308; 1121,034; 0,00000
 381,39;  536,227;  527,308;  635,034; 8,27958
 381,99; 1156,834; 1111,515; 1248,205;33,15455
 382,58; 1731,380; 1614,726; 1956,615;34,12040
 383,17; 2078,342; 2055,647; 2063,336;295,15161
 383,76; 2248,003; 2269,021; 2382,540;-18,51505
 384,35; 1974,622; 1964,783; 2174,705; 4,68687
 384,94; 2504,138; 2542,871; 2750,458;-18,65865
 385,54; 2042,466; 2040,489; 2107,779; 2,93843
 386,13;  962,163;  916,159; 1079,953;28,08679
 386,72; 1720,783; 1717,401; 1760,026; 7,93507
 387,31; 1248,537; 1279,467; 1196,591; 0,00000
 387,90;  947,617;  970,326; 1011,985;-54,51005
 388,49;  947,553; 1041,277;  954,370; 0,00000
 389,08; 2415,103; 2515,264; 2578,657;-158,00091
 389,68; 1389,356; 1481,607; 1357,197; 0,00000
 390,27; 1293,706; 1278,695; 1451,951; 8,66379
 390,86; 1284,979; 1302,625; 1364,148;-28,68129
 391,45; 1283,241; 1247,722; 1223,377; 0,00000
 392,04; 2015,308; 2090,924; 2065,311; 0,00000
 392,63;  596,949;  577,678;  708,000;14,78756
 393,22;  981,446;  980,625; 1062,148; 1,00729
 393,81;  896,763;  846,915;  947,835;49,39352
 394,41;  906,810;  916,295;  955,321;-24,30427
 395,00;  913,980;  966,348; 1081,173;-45,60665
 395,59;  444,207;  373,621;  425,910;134,99163
 396,18; 1100,034; 1117,515; 1087,205; 0,00000
 396,77; 1207,912; 1142,902; 1283,122;46,36305
 397,36; 2766,713; 2864,104; 2868,056;-2464,71424
 397,95; 1260,860; 1240,761; 1339,516;20,35182
 398,54;  784,758;  805,735;  919,090;-18,50541
 399,13; 1574,562; 1625,889; 1706,409;-63,74464
 399,72;  483,666;  514,489;  562,779;-63,82750
 400,31;  949,063;  962,057; 1002,486;-32,14267
 400,90; 1297,403; 1348,021; 1315,540; 0,00000
 401,50; 1360,045; 1469,423; 1427,214; 0,00000
 402,09; 1601,338; 1609,669; 1782,525;-4,81980
 402,68; 1467,794; 1466,308; 1492,034; 5,77612
 403,27;  843,834;  882,515;  892,205;-399,16356
 403,86;  858,145;  844,599;  951,722;12,64524
 404,45;  650,748;  623,854;  719,508;28,11672
 405,04; 1735,635; 1813,995; 1902,114;-88,92491
 405,63; 1191,745; 1186,977; 1317,163; 3,66222
 406,22;  814,210;  830,396;  826,788; 0,00000
 406,81; 1248,321; 1293,581; 1295,771;-2066,70569
 407,40; 1495,047; 1597,307; 1591,990; 0,00000
 407,99; 1761,928; 1751,409; 1825,501;14,19670
 408,58; 1693,140; 1674,418; 1797,976;15,15183
 409,17; 2001,244; 2048,775; 2195,229;-32,45435
 409,76; 1931,964; 2057,361; 1936,886; 0,00000
 410,35;  853,633;  867,968;  965,688;-14,66964
 410,94; 1268,479; 1304,625; 1338,148;-107,82396
 411,53; 1932,334; 2006,238; 1993,231; 0,00000
 412,12; 1001,428;  960,166; 1030,384;58,76307
 412,71;  844,933;  839,211;  866,805;20,73494
 413,30;  820,655;  830,783;  891,705;-16,62465
 413,89;  607,437;  619,467;  660,591;-29,25223
 414,48;  685,285;  650,805;  652,893;1651,58169
 415,07; 1428,623; 1387,263; 1556,613;24,42266
 415,66;  899,424;  889,012;  949,064;17,33881
 416,25; 1927,966; 1938,867; 2068,221;-8,42728
 416,84; 2344,967; 2356,792; 2443,180;-13,68852
 417,43;  920,205; 1000,871;  994,458; 0,00000
 418,02; 1263,934; 1366,515; 1333,205; 0,00000
 418,61;  856,271;  871,669; 1046,525;-8,80612
 419,20;  864,911;  760,775;  815,229;191,23433
 419,79;  780,431;  813,739;  809,328; 0,00000
 420,38; 1161,652; 1135,629; 1286,385;17,26139
 420,97; 2002,803; 2033,122; 2028,007; 0,00000
 421,56;  986,206; 1002,973; 1066,925;-26,21789
 422,15;  849,236;  777,541;  998,632;32,42761
 422,74; 2109,994; 2079,409; 2253,501;17,56832
 423,33; 1157,612; 1061,078; 1265,630;47,19276
 423,92; 1611,059; 1737,660; 1600,049; 0,00000
 424,51; 1141,763; 1114,915; 1213,835;27,14108
 425,10; 1089,818; 1001,805; 1138,893;64,20161
 425,69;  835,453;  786,933;  960,786;27,90875
 426,28;  877,652;  858,285; 1005,801;13,12856
 426,87; 1096,078; 1050,457; 1188,071;33,15196
 427,46; 2766,213; 2805,281; 2888,563;-46,90980
 428,04;  614,858;  578,289;  738,039;22,89094
 428,63; 1220,097; 1231,118; 1352,769;-9,05900
 429,22;  813,340;  833,898;  869,885;-57,12602
 429,81; 1279,433; 1240,245; 1360,662;32,54316
 430,40;  454,398;  390,320;  515,703;51,10605
 430,99; 1528,403; 1462,021; 1684,540;29,83201
 431,58; 2593,279; 2690,801; 2718,655;-350,11614
 432,17; 2273,907; 2382,100; 2446,818;-167,17480
 432,76; 1546,683; 1591,157; 1655,908;-68,68518
 433,35; 1639,322; 1694,061; 1716,679;-242,00852
 433,94; 2249,391; 2445,911; 2348,598; 0,00000
