
Integration time [ms]: 1000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95;  593,825;  596,167;  594,203; 0,00000
 196,55;  576,635;  545,765;  655,894;28,03044
 197,15;  457,522;  439,192;  522,672;21,95798
 197,76;  786,467;  747,777;  777,409;130,56932
 198,36;  456,930;  453,259;  499,529; 7,93407
 198,96;  701,964;  669,874;  722,831;60,59549
 199,56;  557,260;  538,212;  575,340;51,30394
 200,16;  476,082;  485,497;  519,294;-27,85756
 200,76;  378,250;  408,256;  392,734; 0,00000
 201,36;  807,682;  799,868;  814,248;54,33551
 201,96;  377,719;  432,973;  397,088; 0,00000
 202,56;  533,649;  553,612;  564,860;-177,47873
 203,16;  632,424;  611,365;  679,414;30,94616
 203,76;  484,762;  497,072;  577,043;-15,39242
 204,36;  377,707;  405,586;  413,826;-338,34809
 204,96;  557,575;  533,631;  656,226;19,53098
 205,56;  545,755;  508,290;  474,146; 0,00000
 206,16;  418,357;  402,050;  388,849; 0,00000
 206,76;  484,601;  473,864;  445,632; 0,00000
 207,36;  669,295;  646,014;  681,391;65,80811
 207,96;  682,563;  623,758;  779,003;37,87862
 208,56;  554,505;  530,884;  580,037;48,05607
 209,16;  486,171;  476,225;  539,860;15,62859
 209,76;  384,100;  402,020;  425,757;-75,49559
 210,36;  435,303;  438,524;  429,334; 0,00000
 210,96;  495,210;  486,090;  563,403;11,79591
 211,56;  491,359;  492,810;  580,551;-1,65413
 212,16; 1097,309;  961,374; 1212,574;54,11395
 212,76;  502,755;  472,990;  575,146;29,13610
 213,36;  634,125;  612,609;  721,289;19,79723
 213,96;  567,159;  570,510;  601,551;-10,79623
 214,56;  532,039;  517,971;  600,260;17,09630
 215,16;  501,501;  498,964;  500,632;152,14996
 215,76;  922,862;  879,472; 1041,043;26,85533
 216,36;  384,138;  394,727;  379,386; 0,00000
 216,96;  780,518;  738,457;  821,260;50,79590
 217,56;  434,078;  429,435;  479,803; 9,21833
 218,16;  552,641;  583,444;  578,003; 0,00000
 218,75;  386,097;  384,416;  446,180; 2,72097
 219,35;  432,486;  418,145;  535,746;12,19453
