
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2427,388; 2512,211; 2478,307; 0,00000
 196,55; 2190,037; 2248,177; 2092,074; 0,00000
 197,15; 1770,865; 1889,168; 1952,600;-186,50380
 197,76; 3181,811; 3337,208; 3317,415; 0,00000
 198,36; 1866,855; 1977,179; 1944,763; 0,00000
 198,96; 2952,490; 2924,209; 3019,875;29,56281
 199,56; 2233,181; 2350,196; 2275,022; 0,00000
 200,16; 1900,717; 1989,201; 2096,117;-82,75986
 200,76; 1534,645; 1685,215; 1624,943; 0,00000
 201,36; 3382,919; 3433,245; 3459,283;-193,27539
 201,96; 1589,561; 1810,244; 1604,081; 0,00000
 202,56; 2248,672; 2387,230; 2371,485; 0,00000
 203,16; 2417,528; 2437,212; 2539,537;-19,23655
 203,76; 1876,630; 1921,209; 1955,104;-131,52421
 204,36; 1519,974; 1623,205; 1658,752;-290,40030
 204,96; 2277,387; 2441,189; 2334,724; 0,00000
 205,56; 1939,425; 2036,169; 2056,087;-485,70930
 206,16; 1565,973; 1647,182; 1741,169;-86,40542
 206,76; 1942,717; 2095,177; 2063,817; 0,00000
 207,36; 2780,662; 2848,195; 2791,049; 0,00000
 207,96; 2709,615; 2813,180; 2953,250;-73,93778
 208,56; 2299,913; 2438,205; 2368,982; 0,00000
 209,16; 1864,906; 1922,191; 1919,413; 0,00000
 209,76; 1487,444; 1522,193; 1556,359;-101,70423
 210,36; 1707,265; 1836,191; 1754,900; 0,00000
 210,96; 2021,095; 2125,203; 2216,293;-114,29203
 211,56; 2025,821; 2061,196; 2074,251;-270,96813
 212,16; 4394,120; 4457,174; 4516,668;-105,98557
 212,76; 1800,225; 1847,169; 1897,087;-94,04223
 213,36; 2655,401; 2664,197; 2608,995; 0,00000
 213,96; 2281,121; 2441,196; 2385,251; 0,00000
 214,56; 1976,319; 2139,175; 2136,385; 0,00000
 215,16; 1945,017; 2019,177; 2035,817;-445,68563
 215,76; 3929,830; 4018,209; 3966,104; 0,00000
 216,36; 1490,346; 1672,190; 1545,927; 0,00000
