
Integration time [ms]: 1000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95;  566,552;  596,167;  594,203; 0,00000
 196,55;  542,129;  545,765;  655,894;-3,30184
 197,15;  427,253;  439,192;  522,672;-14,30149
 197,76;  738,769;  747,777;  777,409;-30,40123
 198,36;  440,338;  453,259;  499,529;-27,92572
 198,96;  652,375;  669,874;  722,831;-33,04155
 199,56;  535,781;  538,212;  575,340;-6,54783
 200,16;  437,838;  485,497;  519,294;-141,01364
 200,76;  337,503;  408,256;  392,734; 0,00000
 201,36;  767,544;  799,868;  814,248;-224,78852
 201,96;  351,770;  432,973;  397,088; 0,00000
 202,56;  496,508;  553,612;  564,860;-507,68173
 203,16;  586,856;  611,365;  679,414;-36,01739
 203,76;  452,879;  497,072;  577,043;-55,26118
 204,36;  353,989;  405,586;  413,826;-626,18823
 204,96;  525,750;  533,631;  656,226;-6,42914
 205,56;  493,488;  508,290;  474,146; 0,00000
 206,16;  393,586;  402,050;  388,849; 0,00000
 206,76;  460,697;  473,864;  445,632; 0,00000
 207,36;  641,310;  646,014;  681,391;-13,29826
 207,96;  638,574;  623,758;  779,003; 9,54341
 208,56;  501,492;  530,884;  580,037;-59,79628
 209,16;  423,259;  476,225;  539,860;-83,23549
 209,76;  357,601;  402,020;  425,757;-187,13364
 210,36;  413,494;  438,524;  429,334; 0,00000
 210,96;  484,183;  486,090;  563,403;-2,46661
 211,56;  483,984;  492,810;  580,551;-10,05915
 212,16; 1037,281;  961,374; 1212,574;30,21760
 212,76;  467,188;  472,990;  575,146;-5,67973
 213,36;  586,252;  612,609;  721,289;-24,25268
 213,96;  542,684;  570,510;  601,551;-89,64126
 214,56;  514,819;  517,971;  600,260;-3,82977
 215,16;  476,097;  498,964;  500,632;-1371,68171
 215,76;  881,179;  879,472; 1041,043; 1,05648
 216,36;  361,624;  394,727;  379,386; 0,00000
 216,96;  740,068;  738,457;  821,260; 1,94540
 217,56;  417,543;  429,435;  479,803;-23,61017
 218,16;  538,022;  583,444;  578,003; 0,00000
 218,75;  356,707;  384,416;  446,180;-44,86390
