
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 259,46; 1747,043; 1821,228; 1737,309; 0,00000
 260,06; 1899,341; 1989,218; 1992,605;-2653,42367
 260,66; 1915,925; 2100,227; 1906,336; 0,00000
 261,26; 3115,307; 3119,203; 3137,806;-20,94122
 261,85; 1248,037; 1372,220; 1391,038;-659,93033
 262,45; 2020,809; 2149,202; 2033,090; 0,00000
 263,05; 1895,450; 1985,201; 1995,603;-862,80936
 263,65; 1201,564; 1328,227; 1383,565;-228,89050
 264,24; 2764,208; 2882,180; 2818,250; 0,00000
 264,84; 2290,025; 2400,204; 2371,779; 0,00000
 265,44; 2480,295; 2567,209; 2661,104;-92,56539
 266,04; 1607,543; 1699,228; 1649,309; 0,00000
 266,63; 1702,127; 1826,192; 1727,643; 0,00000
 267,23; 1161,584; 1167,227; 1168,822;-353,78846
 267,83; 1953,764; 2038,193; 2000,589; 0,00000
 268,42; 1544,731; 1568,200; 1638,630;-33,32247
 269,02; 2908,741; 2966,229; 2994,025;-206,81575
 269,62; 2006,858; 2085,197; 1967,738; 0,00000
 270,22; 1088,734; 1248,210; 1167,334; 0,00000
 270,81; 1973,708; 2089,191; 2049,670; 0,00000
 271,41; 1914,344; 2144,239; 2007,729; 0,00000
 272,01; 2014,468; 2081,202; 2139,576;-114,32073
 272,61; 1938,267; 1929,191; 1999,156;12,97258
 273,20; 2385,250; 2612,235; 2487,580; 0,00000
 273,80; 1558,708; 1667,214; 1630,226; 0,00000
 274,40; 1357,686; 1486,215; 1295,686; 0,00000
 274,99; 1883,382; 2101,228; 1993,539; 0,00000
 275,59; 2279,469; 2333,213; 2291,996; 0,00000
 276,19; 2593,992; 2646,223; 2626,957; 0,00000
 276,78; 1957,006; 2088,192; 2109,386;-618,96570
 277,38; 1514,949; 1587,190; 1580,183; 0,00000
 277,98; 1699,074; 1877,222; 1874,984; 0,00000
 278,57; 1529,767; 1695,191; 1500,156; 0,00000
 279,17; 1844,204; 1921,193; 1851,103; 0,00000
 279,77; 4119,023; 4198,194; 4182,076; 0,00000
 280,37; 1782,665; 1924,238; 1844,985; 0,00000
 280,96; 1441,737; 1501,220; 1550,038;-121,84795
