
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 195,95; 2435,599; 2450,809; 2514,086;-24,03563
 196,55; 2190,010; 2155,473; 2207,978;65,77869
 197,15; 1787,257; 1825,653; 1797,723; 0,00000
 197,76; 3231,296; 3364,879; 3360,889; 0,00000
 198,36; 1888,755; 1886,433; 1945,838; 3,90880
 198,96; 2887,760; 3138,853; 3019,463; 0,00000
 199,56; 2232,815; 2475,112; 2368,487; 0,00000
 200,16; 1889,377; 1934,011; 1881,020; 0,00000
 200,76; 1544,397; 1629,734; 1574,046; 0,00000
 201,36; 3450,583; 3644,140; 3521,958; 0,00000
 201,96; 1580,525; 1650,171; 1633,621; 0,00000
 202,56; 2293,387; 2318,435; 2251,883; 0,00000
 203,16; 2461,181; 2564,795; 2494,373; 0,00000
 203,76; 1902,442; 1954,839; 1908,750; 0,00000
 204,36; 1561,574; 1733,936; 1529,979; 0,00000
 204,96; 2302,096; 2295,244; 2327,618;21,16559
 205,56; 1972,245; 2137,645; 2037,247; 0,00000
 206,16; 1606,371; 1616,372; 1511,511; 0,00000
 206,76; 1940,204; 2009,469; 1932,740; 0,00000
 207,36; 2774,439; 2789,130; 2790,438;-1123,24062
 207,96; 2731,243; 2751,425; 2693,363; 0,00000
 208,56; 2315,956; 2467,923; 2308,266; 0,00000
 209,16; 1889,142; 1894,205; 1953,478;-8,54108
 209,76; 1461,594; 1638,169; 1583,577; 0,00000
 210,36; 1713,530; 1838,196; 1811,003; 0,00000
 210,96; 1996,710; 2184,963; 2096,406; 0,00000
 211,56; 1999,497; 2134,099; 2082,774; 0,00000
 212,16; 4349,694; 4485,535; 4481,305; 0,00000
 212,76; 1785,845; 1873,645; 1827,247; 0,00000
 213,36; 2633,091; 2567,094; 2680,536;58,17689
 213,96; 2269,697; 2310,099; 2403,774;-43,12953
 214,56; 2036,564; 2149,512; 2055,117; 0,00000
 215,16; 1957,504; 2038,469; 2012,740; 0,00000
 215,76; 3907,942; 3965,839; 4066,750;-57,37508
 216,36; 1467,554; 1475,213; 1579,954;-7,31265
