#date: 26.11.2020	time: 19:50:14
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
5.37704E+2	1.58101E-1	2.07281E-4	1.80244E-2	8.77145E+0	2.84968E-3	4.79327E+2
5.38430E+2	1.58272E-1	2.07825E-4	1.80717E-2	8.75799E+0	2.86025E-3	4.78375E+2
5.39150E+2	1.58682E-1	2.06891E-4	1.79905E-2	8.82029E+0	2.85477E-3	4.82779E+2
5.39870E+2	1.58201E-1	2.07869E-4	1.80756E-2	8.75218E+0	2.85957E-3	4.77965E+2
5.40590E+2	1.58185E-1	2.08543E-4	1.81342E-2	8.72304E+0	2.86856E-3	4.75905E+2
5.41310E+2	1.57309E-1	2.06853E-4	1.79872E-2	8.74559E+0	2.82954E-3	4.77499E+2
5.42029E+2	1.57814E-1	2.06091E-4	1.79209E-2	8.80614E+0	2.82818E-3	4.81780E+2
5.42744E+2	1.57539E-1	2.06458E-4	1.79528E-2	8.77516E+0	2.82827E-3	4.79589E+2
5.43463E+2	1.58199E-1	2.07694E-4	1.80603E-2	8.75946E+0	2.85712E-3	4.78479E+2
5.44182E+2	1.57353E-1	2.07083E-4	1.80072E-2	8.73836E+0	2.83349E-3	4.76987E+2
5.44902E+2	1.57998E-1	2.08378E-4	1.81198E-2	8.71960E+0	2.86289E-3	4.75662E+2
5.45628E+2	1.57999E-1	2.07727E-4	1.80632E-2	8.74702E+0	2.85396E-3	4.77600E+2
5.46349E+2	1.57788E-1	2.06427E-4	1.79502E-2	8.79037E+0	2.83233E-3	4.80664E+2
5.47070E+2	1.58169E-1	2.06229E-4	1.79330E-2	8.81998E+0	2.83644E-3	4.82758E+2
5.47789E+2	1.58302E-1	2.07827E-4	1.80719E-2	8.75956E+0	2.86081E-3	4.78486E+2
5.48509E+2	1.57989E-1	2.07410E-4	1.80357E-2	8.75983E+0	2.84944E-3	4.78505E+2
5.49229E+2	1.57718E-1	2.06556E-4	1.79614E-2	8.78096E+0	2.83285E-3	4.80000E+2
5.49948E+2	1.57917E-1	2.07296E-4	1.80257E-2	8.76065E+0	2.84658E-3	4.78564E+2
5.50662E+2	1.57299E-1	2.07019E-4	1.80017E-2	8.73803E+0	2.83164E-3	4.76964E+2
5.51382E+2	1.58009E-1	2.07119E-4	1.80104E-2	8.77324E+0	2.84581E-3	4.79454E+2
5.52082E+2	1.58033E-1	2.06346E-4	1.79431E-2	8.80747E+0	2.83561E-3	4.81874E+2
5.52808E+2	1.57787E-1	2.06281E-4	1.79375E-2	8.79649E+0	2.83031E-3	4.81097E+2
5.53529E+2	1.57076E-1	2.06122E-4	1.79236E-2	8.76359E+0	2.81537E-3	4.78771E+2
5.54248E+2	1.57291E-1	2.06473E-4	1.79542E-2	8.76070E+0	2.82403E-3	4.78567E+2
5.54968E+2	1.58275E-1	2.07017E-4	1.80015E-2	8.79233E+0	2.84918E-3	4.80803E+2
5.55688E+2	1.56713E-1	2.05297E-4	1.78519E-2	8.77849E+0	2.79763E-3	4.79825E+2
5.56407E+2	1.57276E-1	2.06418E-4	1.79494E-2	8.76222E+0	2.82301E-3	4.78675E+2
5.57128E+2	1.57640E-1	2.06812E-4	1.79837E-2	8.76575E+0	2.83496E-3	4.78924E+2
5.57840E+2	1.57431E-1	2.06463E-4	1.79533E-2	8.76890E+0	2.82641E-3	4.79147E+2
5.58561E+2	1.57652E-1	2.05925E-4	1.79065E-2	8.80415E+0	2.82299E-3	4.81639E+2
5.59168E+2	1.57306E-1	2.07443E-4	1.80385E-2	8.72056E+0	2.83756E-3	4.75729E+2
5.59827E+2	1.57365E-1	2.07656E-4	1.80570E-2	8.71486E+0	2.84154E-3	4.75326E+2
5.60548E+2	1.57429E-1	2.06819E-4	1.79842E-2	8.75369E+0	2.83123E-3	4.78072E+2
5.61267E+2	1.56710E-1	2.08591E-4	1.81383E-2	8.63970E+0	2.84245E-3	4.70013E+2
5.61988E+2	1.56610E-1	2.06679E-4	1.79721E-2	8.71408E+0	2.81460E-3	4.75271E+2
5.62707E+2	1.56909E-1	2.07084E-4	1.80073E-2	8.71364E+0	2.82550E-3	4.75240E+2
5.63427E+2	1.55849E-1	2.05879E-4	1.79025E-2	8.70544E+0	2.79010E-3	4.74660E+2
5.64146E+2	1.56786E-1	2.06843E-4	1.79863E-2	8.71694E+0	2.81999E-3	4.75473E+2
